"name","price","affiliate_link"
"The Derma Co 1% Hyaluronic Sunscreen Aqua Gel SPF 50 PA++++ | Hydrating, Lightweight & Non-Greasy | No White Cast | Broad Spectrum & Blue Light Protection | Clinically Tested - (In-Vivo) | 50 g","408.00","https://amzn.to/4sO950b"
"Bioderma Photoderm Cr?me Claire SPF 50+ PA++++ Tinted Sunscreen with 8H Hydration | In Vivo Tested","1169.00","https://amzn.to/4sir2D6"
"The Derma Co 10% Niacinamide Serum with 2% Zinc, Powered by Deep Penetration Formula? | Fades Acne Marks, Controls Oil & Reduces Dark Spots | 30 ml","500.00","https://amzn.to/3OfT0Bc"
"Minimalist Dark Spots Removal Serum with 2% Alpha Arbutin for Hyperpigmentation | Suitable for All Skin Type | Face Serum for Blemishes, Acne Marks & Tanning with Hyaluronic Acid & Butylresorcinol | Fragrance-Free & Non-Comedogenic | For Women & Men | 30 ml","521.00","https://amzn.to/41LNdGB"
"Minimalist Sunscreen SPF 50 PA+++ with Niacinamide & Multi-Vitamins | Clinically Tested in US (In-Vivo) | Lightweight with Multi-Vitamins | No White Cast | Broad Spectrum | Face Sunscreen for Men & Women | 50gm","359","https://amzn.to/3QcAsCs"
"Minimalist Anti-Acne Salicylic Acid 2% Face Wash For Oily & Acne Prone Skin | With LHA for Pore Cleansing, Oil Control & Sebum Regulation | Cleanser for Women & Men | 100 ml","284","https://amzn.to/4s6FfCI"
"Cetaphil Gentle Skin Hydrating Face Wash 118ml, Paraben Free, Sulphate-Free Gentle Skin Hydrating Cleanser with Niacinamide, Vitamin B5 for Dry to Normal, Sensitive Skin","390","https://amzn.to/47COOCa"
"Plum Green Tea Pore Cleansing Face Wash for Oily, Acne Prone, Dry & Combination Skin | with Glycolic Acid | Fight Pimples & Control Excess Oil | Gentle Exfoliating & Non-Drying | Women & Men | 50ml","190","https://amzn.to/4cjr2h5"
"Biotique Morning Nectar Flawless Skin Moisturizer Lotion L Prevents Dark Spots, Blackheads And Blemishes L Visibly Flawless Skin L Nourishes And Hydrates Skin L All Skin Types L 190Ml","212.00","https://amzn.to/41F6cmb"
"ndus Valley Bio Organic Sandalwood Face Pack Powder Lightens Suntan, Dark Spots & Pigmentation Prevents Acne Breakouts Enriched with Chandan Powder for Glowing Skin & Tan Removal (200g)","130","https://amzn.to/4tmQecu"
"Minimalist Anti-Acne 2% Salicylic Acid Face Serum for All Skin Types | Reduces Blackheads,Oiliness, Excess Oil & Bumpy Texture | BHA Based Exfoliant | 30 ml","521","https://amzn.to/417d5wE"
"Minimalist 16% Vitamin C Face Serum ? Brightening & Glow-Boosting Formula with Vitamin E, Ferulic Acid & Fullerenes, Antioxidant Boost for Radiant Skin (20 ml)","569","https://amzn.to/4scc3KO"
"Minimalist 25% AHA + 2% BHA + 5% PHA Peeling Serum Solution for Glowing Skin, Smooth Texture & Pore Cleansing | AHA BHA PHA Peel Serum For Weekend Exfoliation | 30ml","664","https://amzn.to/4c16ngq"
"The Ordinary AHA 30% + BHA 2% Peeling Solution, Advanced Exfoliating Peel for Brighter Skin, 30ml","950.00","https://amzn.to/41GyYmw"
"The Ordinary Niacinamide 10% + Zinc 1%, Brightening & Smoothing Serum for Blemish-Prone Skin","600","https://amzn.to/4bNa1vO"
"Celimax Vita-A Retinal Shot Tightening Booster with 0.1% Retinal, Matrixyl & Niacinamide | Pore Minimizer, Wrinkles & Fine Lines, Firmer Skin, Korean Face Serum (15ml)","2199.00","https://amzn.to/4s3XI2P"
"Neutrogena Visible Repair Retinol Day & Night Cream: Boosts Collagen for Anti-Ageing, Wrinkles, Fine Lines 50g","1290.00","https://amzn.to/4v6mxhh"
"Neutrogena Ultrasheer Sunscreen SPF 50+ PA++++, Blue Light Protect, No White Cast, Water Resistant, Ultra Light & Non Sticky, Oily, Dry & Sensitive Skin, For Unisex, 80 Grams","583.00","https://amzn.to/41L0y1S"
"CeraVe Blemish Control Cleanser with 2% Salicylic Acid & Niacinamide for Acne Prone Skin, Controls Acne & Spots, Unclog Pores & Reduces Blemishes, 236ml","1125.00","https://amzn.to/4bKU6xZ"
"CeraVe Foaming Cleanser For Normal To Oily Skin (473ml) - Dermatologist-Developed Facewash | Non-Comedogenic And Fragrance-Free Cleansers For Acne-Prone Skin","1485.00","https://amzn.to/4trSn6J"
"CeraVe Moisturizing Cream For Dry To Very Dry Skin (454g) - Formulated with 3 Essential Ceramides And Hyaluronic Acid | Non-Comedogenic Moisturizer For Face and Body","1615.00","https://amzn.to/3PFfD2x"
