"name","price","affiliate_link","product_url","image_url","category","skin_types","concerns"
"The Derma Co 1% Hyaluronic Sunscreen Aqua Gel SPF 50 PA++++ | Hydrating, Lightweight & Non-Greasy | No White Cast | Broad Spectrum & Blue Light Protection | Clinically Tested - (In-Vivo) | 50 g","408.00","https://amzn.to/4sO950b","https://amzn.to/4sO950b","https://thedermaco.com/cdn/shop/files/1_PDP_50g_new.jpg?v=1770277899&width=1080","Sun Protection","{""all""}","{""hydration"",""sun_protection""}"
"Bioderma Photoderm Cr?me Claire SPF 50+ PA++++ Tinted Sunscreen with 8H Hydration | In Vivo Tested","1169.00","https://amzn.to/4sir2D6","https://amzn.to/4sir2D6","https://images-static.nykaa.com/media/catalog/product/7/c/7c9d1b2BIODE00000082_1.jpg?tr=w-344%2Ch-344%2Ccm-pad_resize","Sun Protection","{""all""}","{""sun_protection""}"
"The Derma Co 10% Niacinamide Serum with 2% Zinc, Powered by Deep Penetration Formula? | Fades Acne Marks, Controls Oil & Reduces Dark Spots | 30 ml","500.00","https://amzn.to/3OfT0Bc","https://amzn.to/3OfT0Bc","https://thedermaco.com/cdn/shop/files/pdp_10_nia_new.jpg?v=1758286594&width=1080","Facial Serums","{""all""}","{""acne"",""oiliness"",""pigmentation""}"
"Minimalist Dark Spots Removal Serum with 2% Alpha Arbutin for Hyperpigmentation | Suitable for All Skin Type | Face Serum for Blemishes, Acne Marks & Tanning with Hyaluronic Acid & Butylresorcinol | Fragrance-Free & Non-Comedogenic | For Women & Men | 30 ml","521.00","https://amzn.to/41LNdGB","https://amzn.to/41LNdGB","https://sfycdn.speedsize.com/56385b25-4e17-4a9a-9bec-c421c18686fb/https%3A//beminimalist.co/cdn/shop/files/AlphaArNew.png?v=1721397838&width=480","Facial Serums","{""all""}","{""acne"",""hydration"",""pigmentation""}"
"Minimalist Sunscreen SPF 50 PA+++ with Niacinamide & Multi-Vitamins | Clinically Tested in US (In-Vivo) | Lightweight with Multi-Vitamins | No White Cast | Broad Spectrum | Face Sunscreen for Men & Women | 50gm","359","https://amzn.to/3QcAsCs","https://amzn.to/3QcAsCs","https://sfycdn.speedsize.com/56385b25-4e17-4a9a-9bec-c421c18686fb/https%3A//beminimalist.co/cdn/shop/files/SPF50New.jpg?v=1756795782&width=480","Sun Protection","{""all""}","{""sun_protection""}"
"Minimalist Anti-Acne Salicylic Acid 2% Face Wash For Oily & Acne Prone Skin | With LHA for Pore Cleansing, Oil Control & Sebum Regulation | Cleanser for Women & Men | 100 ml","284","https://amzn.to/4s6FfCI","https://amzn.to/4s6FfCI","https://sfycdn.speedsize.com/56385b25-4e17-4a9a-9bec-c421c18686fb/https%3A//beminimalist.co/cdn/shop/files/SalicylicCleanserNew.jpg?v=1756796206&width=480","Facial Cleansers","{""oily""}","{""acne"",""oiliness""}"
"Cetaphil Gentle Skin Hydrating Face Wash 118ml, Paraben Free, Sulphate-Free Gentle Skin Hydrating Cleanser with Niacinamide, Vitamin B5 for Dry to Normal, Sensitive Skin","390","https://amzn.to/47COOCa","https://amzn.to/47COOCa","https://www.cetaphil.com/dw/image/v2/BGGN_PRD/on/demandware.static/-/Sites-galderma-us-m-catalog/default/dw554054cc/302990100624/GSC-RESIZE-1.2X.png?q=85&sh=900&sm=fit&sw=900","Facial Cleansers","{""dry"",""sensitive""}","{""hydration"",""sensitivity""}"
"Plum Green Tea Pore Cleansing Face Wash for Oily, Acne Prone, Dry & Combination Skin | with Glycolic Acid | Fight Pimples & Control Excess Oil | Gentle Exfoliating & Non-Drying | Women & Men | 50ml","190","https://amzn.to/4cjr2h5","https://amzn.to/4cjr2h5","https://plumgoodness.com/cdn/shop/files/01_56929db7-8603-4976-b8c8-c8a1b7eaaa5a.jpg?v=1771581308&width=160","Facial Cleansers","{""combination"",""dry"",""oily""}","{""acne"",""oiliness"",""sensitivity""}"
"Biotique Morning Nectar Flawless Skin Moisturizer Lotion L Prevents Dark Spots, Blackheads And Blemishes L Visibly Flawless Skin L Nourishes And Hydrates Skin L All Skin Types L 190Ml","212.00","https://amzn.to/41F6cmb","https://amzn.to/41F6cmb","https://www.biotique.com/cdn/shop/files/8904352003813_1-min_b35a943f-c56f-4067-82cd-f4e321b71994_600x.jpg?v=1670238630","Facial Moisturisers","{""all""}","{""hydration"",""pigmentation""}"
"ndus Valley Bio Organic Sandalwood Face Pack Powder Lightens Suntan, Dark Spots & Pigmentation Prevents Acne Breakouts Enriched with Chandan Powder for Glowing Skin & Tan Removal (200g)","130","https://amzn.to/4tmQecu","https://amzn.to/4tmQecu","https://www.buyindusvalley.in/cdn/shop/files/sandalwood-1_medium.jpg?v=1757398671","Facial Masks","{""all""}","{""acne"",""pigmentation""}"
"Minimalist Anti-Acne 2% Salicylic Acid Face Serum for All Skin Types | Reduces Blackheads,Oiliness, Excess Oil & Bumpy Texture | BHA Based Exfoliant | 30 ml","521","https://amzn.to/417d5wE","https://amzn.to/417d5wE","https://sfycdn.speedsize.com/56385b25-4e17-4a9a-9bec-c421c18686fb/https%3A//beminimalist.co/cdn/shop/products/SalicylicAcid2_1200-1-min.png?v=1646458899&width=480","Facial Serums","{""all""}","{""acne"",""oiliness""}"
"Minimalist 16% Vitamin C Face Serum ? Brightening & Glow-Boosting Formula with Vitamin E, Ferulic Acid & Fullerenes, Antioxidant Boost for Radiant Skin (20 ml)","569","https://amzn.to/4scc3KO","https://amzn.to/4scc3KO","https://sfycdn.speedsize.com/56385b25-4e17-4a9a-9bec-c421c18686fb/https%3A//beminimalist.co/cdn/shop/files/Vit16New.png?v=1721398127&width=480","Facial Serums","{""all""}","{""pigmentation""}"
"Minimalist 25% AHA + 2% BHA + 5% PHA Peeling Serum Solution for Glowing Skin, Smooth Texture & Pore Cleansing | AHA BHA PHA Peel Serum For Weekend Exfoliation | 30ml","664","https://amzn.to/4c16ngq","https://amzn.to/4c16ngq","https://sfycdn.speedsize.com/56385b25-4e17-4a9a-9bec-c421c18686fb/https%3A//beminimalist.co/cdn/shop/products/AHAPHABHA32_1200-1-min.png?v=1646480856&width=480","Facial Serums","{""all""}","{""acne""}"
"The Ordinary AHA 30% + BHA 2% Peeling Solution, Advanced Exfoliating Peel for Brighter Skin, 30ml","950.00","https://amzn.to/41GyYmw","https://amzn.to/41GyYmw","https://theordinary.com/dw/image/v2/BFKJ_PRD/on/demandware.static/-/Sites-deciem-master/default/dwdf7a6213/Images/products/The%20Ordinary/rdn-aha-30pct-bha-2pct-peeling-solution-30ml.png?sh=800&sm=fit&sw=800","Face","{""all""}","{""acne"",""pigmentation""}"
"The Ordinary Niacinamide 10% + Zinc 1%, Brightening & Smoothing Serum for Blemish-Prone Skin","600","https://amzn.to/4bNa1vO","https://amzn.to/4bNa1vO","https://theordinary.com/dw/image/v2/BFKJ_PRD/on/demandware.static/-/Sites-deciem-master/default/dwce8a7cdf/Images/products/The%20Ordinary/rdn-niacinamide-10pct-zinc-1pct-30ml.png?sh=860&sm=fit&sw=860","Facial Serums","{""all""}","{""pigmentation""}"
"Celimax Vita-A Retinal Shot Tightening Booster with 0.1% Retinal, Matrixyl & Niacinamide | Pore Minimizer, Wrinkles & Fine Lines, Firmer Skin, Korean Face Serum (15ml)","2199.00","https://amzn.to/4s3XI2P","https://amzn.to/4s3XI2P","https://celimax.us/cdn/shop/files/celimax-serum-ampoule-15ml-the-vita-a-retinal-shot-tightening-booster-36863029706902.jpg?v=1726767534&width=828","Facial Serums","{""all""}","{""wrinkles""}"
"Neutrogena Visible Repair Retinol Day & Night Cream: Boosts Collagen for Anti-Ageing, Wrinkles, Fine Lines 50g","1290.00","https://amzn.to/4v6mxhh","https://amzn.to/4v6mxhh","https://images.ctfassets.net/e64hqorbppkw/1FTM3xcoTg5ZMPxxrq7sjo/565a4e9568da8d19dad2186de4b3fae5/regenerating_cream_front_box_product1-en-sg?fm=webp&w=3840","Facial Moisturisers","{""all""}","{""wrinkles""}"
"Neutrogena Ultrasheer Sunscreen SPF 50+ PA++++, Blue Light Protect, No White Cast, Water Resistant, Ultra Light & Non Sticky, Oily, Dry & Sensitive Skin, For Unisex, 80 Grams","583.00","https://amzn.to/41L0y1S","https://amzn.to/41L0y1S","https://images.ctfassets.net/bcjr30vxh6td/o2w7Iy4OFba40eEicmhCp/7c162041eadf24bd3f09685290ad77d0/NTG_NA_US_086800687900_115801_686879090_UltraSheer_SPF55_p3oz_00000.webp?fm=webp&w=3840","Sun Protection","{""dry"",""oily"",""sensitive""}","{""oiliness"",""sensitivity"",""sun_protection""}"
"CeraVe Blemish Control Cleanser with 2% Salicylic Acid & Niacinamide for Acne Prone Skin, Controls Acne & Spots, Unclog Pores & Reduces Blemishes, 236ml","1125.00","https://amzn.to/4bKU6xZ","https://amzn.to/4bKU6xZ","https://www.pakcosmetics.com/images/content/productimgLarge/CeraveBlemishControlCleanser236ml2.jpg","Facial Cleansers","{""all""}","{""acne""}"
"CeraVe Foaming Cleanser For Normal To Oily Skin (473ml) - Dermatologist-Developed Facewash | Non-Comedogenic And Fragrance-Free Cleansers For Acne-Prone Skin","1485.00","https://amzn.to/4trSn6J","https://amzn.to/4trSn6J","https://product-images.metro.ca/images/hb8/hec/15111112261662.jpg","Facial Cleansers","{""oily""}","{""acne"",""oiliness""}"
"CeraVe Moisturizing Cream For Dry To Very Dry Skin (454g) - Formulated with 3 Essential Ceramides And Hyaluronic Acid | Non-Comedogenic Moisturizer For Face and Body","1615.00","https://amzn.to/3PFfD2x","https://amzn.to/3PFfD2x","https://product-images.metro.ca/images/hef/h09/13946701185054.jpg","Facial Moisturisers","{""dry""}","{""hydration""}"
